emis,centre_no,name,quintile,wrote_2014,passed_2014,perc_2014,progressed_2015,wrote_2015,passed_2015,perc_2015,progressed_2016,wrote_2016,passed_2016,perc_2016
200100927,4221039,KWAMAGXAKI HIGH SCHOOL,3,117,80,68.4,18,178,100,56.2,73,80,67,83.8
200100427,4221040,KWAZAKHELE HIGH SCHOOL,3,94,52,55.3,19,129,73,56.6,21,156,60,38.5
200100119,4221041,LAWSON BROWN HIGH,3,154,142,92.2,0,158,139,88,0,144,127,88.2
200100133,4222042,LINKSIDE HIGH SCHOOL,5,98,95,96.9,0,127,121,95.3,0,97,93,95.9
200100468,4221043,LOYISO SENIOR SECONDARY SCHOOL,3,66,50,75.8,21,83,31,37.3,43,66,21,31.8
200100472,4221044,LUNGISA HIGH SCHOOL,3,127,82,64.6,18,177,59,33.3,48,145,36,24.8
200100497,4221047,MASIBAMBANE SENIOR SECONDARY SCHOOL,3,99,50,50.5,69,151,52,34.4,43,126,42,33.3
200100498,4221048,MASIPHATHISANE SENIOR SECONDARY SCHOOL,3,145,119,82.1,18,345,170,49.3,36,314,167,53.2
200100509,4221049,MFESANE SENIOR SECONDARY SCHOOL,3,88,75,85.2,17,157,74,47.1,68,165,74,44.8
200100117,4221050,MORNINGSIDE HIGH SCHOOL,5,76,57,75,2,144,100,69.4,8,82,50,61
200100531,4221051,MOTHERWELL HIGH SCHOOL,3,104,53,51,22,105,64,61,20,155,81,52.3
200100546,4221052,MZONTSUNDU SENIOR SECONDARY SCHOOL,3,139,37,26.6,74,159,64,40.3,82,157,59,37.6
200101034,4222053,NASRUDDIN ISLAMIC HIGH SCHOOL,99,25,25,100,0,26,25,96.2,0,27,27,100
200100555,4221054,NCEDO SENIOR SECONDARY SCHOOL,3,74,58,78.4,19,111,71,64,77,111,44,39.6
200100556,4221055,NDYEBO SENIOR SECONDARY SCHOOL,3,82,49,59.8,18,139,83,59.7,13,128,69,53.9
200100558,4221056,NDZONDELELO HIGH SCHOOL,3,170,129,75.9,12,135,98,72.6,14,230,171,74.3
200100563,4221057,NEWELL PUBLIC SECONDARY SCHOOL,3,73,36,49.3,0,77,48,62.3,29,87,33,37.9
200100567,4221031,NEWTON T.H.S,5,89,78,87.6,0,118,101,85.6,5,138,107,77.5
200100893,4223058,NORTHERN LIGHTS SCHOOL,99,94,53,56.4,0,8,7,87.5,0,8,7,87.5
200100618,4221059,PATERSON HIGH SCHOOL,4,108,87,80.6,27,122,92,75.4,8,120,104,86.7
200100619,4221060,PEARSON HIGH SCHOOL,5,168,168,100,1,181,181,100,1,213,213,100
200100626,4221061,PHAKAMISA SENIOR SECONDARY SCHOOL,3,87,30,34.5,6,69,32,46.4,31,133,42,31.6
200100638,4221062,QAPHELANI SENIOR SECONDARY SCHOOL,3,46,23,50,2,95,26,27.4,0,60,31,51.7
200100671,4221063,SAKHISIZWE SENIOR SECONDARY SCHOOL,3,79,36,45.6,43,115,39,33.9,28,48,28,58.3
200100678,4221064,SANCTOR HIGH SCHOOL,3,210,183,87.1,29,234,152,65,40,176,120,68.2
200100691,4211022,SHAW PARK COMBINED SCHOOL,2,7,3,42.9,0,17,4,23.5,0,15,2,13.3
200100716,4221066,SOPHAKAMA SENIOR SECONDARY SCHOOL,3,31,10,32.3,27,64,28,43.8,17,75,31,41.3
200100717,4221067,SOQHAYISA SENIOR SECONDARY SCHOOL,3,56,51,91.1,12,85,68,80,24,69,63,91.3
200900350,4221087,ST ALBANS SCHOOL,5,6,5,83.3,0,13,5,38.5,3,4,2,50
200100735,4221068,ST JAMES SECONDARY SCHOOL,5,83,68,81.9,7,91,72,79.1,8,60,47,78.3
200100745,4221069,ST THOMAS SENIOR SECONDARY SCHOOL,3,151,134,88.7,11,166,148,89.2,18,180,148,82.2
